Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
1990-01-02,US10Y,7.94,7.94,7.94,7.94,0,True,
1990-01-03,US10Y,7.99,7.99,7.99,7.99,0,True,0.00627745
1990-01-04,US10Y,7.98,7.98,7.98,7.98,0,True,-0.00125232
1990-01-05,US10Y,7.99,7.99,7.99,7.99,0,True,0.00125232
1990-01-08,US10Y,8.02,8.02,8.02,8.02,0,True,0.00374775
1990-01-09,US10Y,8.02,8.02,8.02,8.02,0,True,0.0
1990-01-10,US10Y,8.03,8.03,8.03,8.03,0,True,0.00124602
1990-01-11,US10Y,8.04,8.04,8.04,8.04,0,True,0.00124458
1990-01-12,US10Y,8.1,8.1,8.1,8.1,0,True,0.00743503
1990-01-16,US10Y,8.2,8.2,8.2,8.2,0,True,0.01227002
1990-01-17,US10Y,8.19,8.19,8.19,8.19,0,True,-0.00122028
1990-01-18,US10Y,8.32,8.32,8.32,8.32,0,True,0.01574837
1990-01-19,US10Y,8.26,8.26,8.26,8.26,0,True,-0.0072376
1990-01-22,US10Y,8.27,8.27,8.27,8.27,0,True,0.00120995
1990-01-23,US10Y,8.26,8.26,8.26,8.26,0,True,-0.00120995
1990-01-24,US10Y,8.38,8.38,8.38,8.38,0,True,0.01442331
1990-01-25,US10Y,8.42,8.42,8.42,8.42,0,True,0.00476191
1990-01-26,US10Y,8.49,8.49,8.49,8.49,0,True,0.00827914
1990-01-29,US10Y,8.5,8.5,8.5,8.5,0,True,0.00117719
1990-01-30,US10Y,8.51,8.51,8.51,8.51,0,True,0.00117581
1990-01-31,US10Y,8.43,8.43,8.43,8.43,0,True,-0.00944516
1990-02-01,US10Y,8.42,8.42,8.42,8.42,0,True,-0.00118697
1990-02-02,US10Y,8.5,8.5,8.5,8.5,0,True,0.00945633
1990-02-05,US10Y,8.53,8.53,8.53,8.53,0,True,0.00352317
1990-02-06,US10Y,8.57,8.57,8.57,8.57,0,True,0.00467837
1990-02-07,US10Y,8.52,8.52,8.52,8.52,0,True,-0.0058513
1990-02-08,US10Y,8.49,8.49,8.49,8.49,0,True,-0.00352742
1990-02-09,US10Y,8.31,8.31,8.31,8.31,0,True,-0.02142931
1990-02-12,US10Y,8.4,8.4,8.4,8.4,0,True,0.010772
1990-02-13,US10Y,8.35,8.35,8.35,8.35,0,True,-0.00597008
1990-02-14,US10Y,8.36,8.36,8.36,8.36,0,True,0.0011968
1990-02-15,US10Y,8.43,8.43,8.43,8.43,0,True,0.00833842
1990-02-16,US10Y,8.42,8.42,8.42,8.42,0,True,-0.00118697
1990-02-20,US10Y,8.62,8.62,8.62,8.62,0,True,0.02347523
1990-02-21,US10Y,8.62,8.62,8.62,8.62,0,True,0.0
1990-02-22,US10Y,8.54,8.54,8.54,8.54,0,True,-0.00932407
1990-02-23,US10Y,8.53,8.53,8.53,8.53,0,True,-0.00117167
1990-02-26,US10Y,8.46,8.46,8.46,8.46,0,True,-0.00824015
1990-02-27,US10Y,8.41,8.41,8.41,8.41,0,True,-0.00592772
1990-02-28,US10Y,8.51,8.51,8.51,8.51,0,True,0.01182051
1990-03-01,US10Y,8.59,8.59,8.59,8.59,0,True,0.00935678
1990-03-02,US10Y,8.54,8.54,8.54,8.54,0,True,-0.00583775
1990-03-05,US10Y,8.65,8.65,8.65,8.65,0,True,0.01279827
1990-03-06,US10Y,8.59,8.59,8.59,8.59,0,True,-0.00696052
1990-03-07,US10Y,8.58,8.58,8.58,8.58,0,True,-0.00116485
1990-03-08,US10Y,8.57,8.57,8.57,8.57,0,True,-0.00116621
1990-03-09,US10Y,8.65,8.65,8.65,8.65,0,True,0.00929158
1990-03-12,US10Y,8.63,8.63,8.63,8.63,0,True,-0.00231476
1990-03-13,US10Y,8.73,8.73,8.73,8.73,0,True,0.0115208
1990-03-14,US10Y,8.65,8.65,8.65,8.65,0,True,-0.00920604
1990-03-15,US10Y,8.66,8.66,8.66,8.66,0,True,0.00115543
1990-03-16,US10Y,8.59,8.59,8.59,8.59,0,True,-0.00811595
1990-03-19,US10Y,8.59,8.59,8.59,8.59,0,True,0.0
1990-03-20,US10Y,8.54,8.54,8.54,8.54,0,True,-0.00583775
1990-03-21,US10Y,8.55,8.55,8.55,8.55,0,True,0.0011703
1990-03-22,US10Y,8.53,8.53,8.53,8.53,0,True,-0.00234198
1990-03-23,US10Y,8.52,8.52,8.52,8.52,0,True,-0.00117294
1990-03-26,US10Y,8.51,8.51,8.51,8.51,0,True,-0.00117443
1990-03-27,US10Y,8.52,8.52,8.52,8.52,0,True,0.00117443
1990-03-28,US10Y,8.51,8.51,8.51,8.51,0,True,-0.00117443
1990-03-29,US10Y,8.6,8.6,8.6,8.6,0,True,0.01052028
1990-03-30,US10Y,8.65,8.65,8.65,8.65,0,True,0.00579703
1990-04-02,US10Y,8.65,8.65,8.65,8.65,0,True,0.0
1990-04-03,US10Y,8.63,8.63,8.63,8.63,0,True,-0.00231476
1990-04-04,US10Y,8.55,8.55,8.55,8.55,0,True,-0.00931321
1990-04-05,US10Y,8.57,8.57,8.57,8.57,0,True,0.00233639
1990-04-06,US10Y,8.56,8.56,8.56,8.56,0,True,-0.00116746
1990-04-09,US10Y,8.59,8.59,8.59,8.59,0,True,0.00349851
